,bully_severity,is_bully,post
0,0.0,False,what&#039;s_your_favorite_song?_:DI_like_too_many_songs_to_have_a_favorite
1,0.0,False,<3</3_?_haha_jk!_<33
2,0.0,False,&quot;hey_angel__you_duh_sexy&quot;Really?!?!_Thanks?!_haha
3,0.0,False,(:;(
4,0.0,False,******************MEOWWW**************************RAWR*?
5,0.0,False,any_makeup_tips?_i_suck_at_doing_my_makeup_lolSure!_Like_tell_me_wht_u_wnna_know?!_Like_wht_do_you_use?!
6,0.0,False,Apriiiiiiiiiiiill!!!_I_miss_uuuu!_It&#039;s_Emma_btw_hahaEMMA_hahahahah_:D_I_MISSSSSeddd_YUHHHHh_222222_<33333
7,0.0,False,Are_you_a_morning_or_night_person?Night_4shuree!!
8,0.0,False,are_you_a_trusting_person?alreadi_answrd
9,0.0,False,are_you_a_trusting_person?Yes_veryy_trustin_person!!!_May_i_help_yuh:!
10,0.0,False,Are_you_and_@TruAce_best_friends?Ahaha!!!_Yess_of_course_aint_dat_rite_@TruAce_?!?!_Haha_He_so_awesome_tho!_BCK_OFF_lol_jk
11,0.0,False,Are_you_more_of_a_talker_or_more_of_a_listener?Listener_definitely_chuz_i_get_cut_off_alot_so_i_just_listen_or_ignore_pplz!
12,0.0,False,Are_yuh_single_and_ready_2_mingle?!Hahaha_Yup!_Bhut_not_lookin_4_a_man_rite_atm_chuz_dey_2much_drama!
13,0.0,False,ask_me_something!!!:)
14,0.0,False,BAHAHAhAHA....took_you_longer_enough;p......GEES_GIRL_hahah...no_its_totally_okay:)_i_just_wanted_to_play_guess_who_i_am_hahaha..i_fuckinggg_love_you_too;)_<3Hahahahhaahhaha:D_ikrr_im_a_slow_american_wht_more_can_i_say_lmfaoo!!_hahaha_<333_Aww!_hahaha
15,0.0,False,bahahahahhaha_;plmaoo!!!!
16,0.0,False,Bitch_u_thee_bomb_like_Tick_TICK!Hahah(:_Thanks!
17,0.0,False,can_you_please_sing_a_cover_of_any_justin_bieber_song?_:DHahaha..._I_dont_sing!!_LOL!_so_srry!_Im_horrible._btw_I_dedicate_&quot;SMILE&quot;_2_yuh!_Its_playing!!
18,0.0,False,Cats_or_Dogs?Dogs!_Im_allergic_2_cats=
19,0.0,False,Chocolate_or_Vanilla?Chocolate!_Bahah!
20,0.0,False,definitely_true!_:D_i&#039;ve_been_learnin_it_for_5_years_cuz_i&#039;ve_frensh_origins_haha_;)Ahhh!!;)_wow_5yrs!_man__its_a_gorgeous_language!_I_love_it!!_this_is_my_first_year_learnin_it!_haha_NEWBIE!
21,0.0,False,Did_u_watch_bieber_on_oprah?Well_sortaa!_I_just_got_2_wtch_thee_Charice_part!_Shes_awesome_<3_hbu?!
22,0.0,False,Do_you_believe_in_life_after_death?Yes_of_course_i_do..._Its_called_Eternity_with_God_in_heaven!<3
23,0.0,False,Do_you_believe_in_luck?Yes__bhut_I_think_luck_is_blessing_from_God_actually!_in_my_opinioN!
24,0.0,False,Do_you_believe_there&#039;s_intelligent_life_on_other_planets?If_God_created_them_then_hellz_yes!
25,0.0,False,Do_you_consider_yourself_a_good_dancer?Hahaha_Bitch_i_bring_it_lmao!_Kinda_i_think_lmao!_I_hve_some_black_in_me_so_yes_haha
26,0.0,False,do_you_have_a_bf??Nope_;/_Bhut_Not_Having_a_BF_doesnt_mean_The_WORLD_ends;]_I_guess_im_waiting_4_the_1__ya_kno?_Hbu_mamas?!
27,0.0,False,Do_you_have_any_favorite_YouTube_star?I_have_2_actually!_Justin_Bieber_(ofcourse)_&amp;&amp;_Scipio_Mondai!
28,2.0,True,do_you_have_any_memories_you&#039;d_like_to_forget?Actually_i_do!!!_Just_my_whole_experience_with_this_fake_a$$_friend!!</3
29,0.0,False,Do_you_have_any_piercings?Yuppers!_Nose_and_Cartilage_piercings(;
30,0.0,False,Do_you_have_any_scars_on_your_body?__If_so__how&#039;d_you_get_them?Hahaha._Strange!:S
31,0.0,False,do_you_like_atlanta__GA_?yes_i_love_ATL!!_great_place_2_live__wish_i_lived_there!_;D
32,0.0,False,do_you_think_that_a_size_10_is_fat?_i&#039;m_trying_to_be_a_size_5_by_the_end_of_the_year.Omg_NO_WAY!!!_10_is_actually_small!!!_Don't_change_thee_way_you_look_4_ANYONE!!!_bhut_yourslf._Kay?!
33,0.0,False,do_you_think_you&#039;re_a_good_friend?Fuck_yes_i_think_i_am!_haha
34,0.0,False,do_you_watch_american_idol?_if_so__who_are_you_voting_for_this_season?Awww_man_you_just_reminded_me!_I_wtch_it_sometimes_bhut_i_love_Big_Mike!_Pplz_are_really_wrong_bout_letting_Katie_go!!_Argh_._.
35,0.0,False,Do_yuh_have_any_stalkers?Hell_yes!_Lots_of_them_and_thats_including_yuh!<3
36,0.0,False,don&#039;t_listen_to_the_haters__you_are_pretty!:D_thank_you_gurl/boy_?_I_really_appreciate_it!<33
37,0.0,False,Favorite_store?ATM_Rue_21;D_Or_Forever21_<3
38,3.6666666666666665,True,Fuck_Justin_bieber._He&#039;s_a_fucking_fagUM_excuse_yuh?_HE_IS_NOT!!_Ur_a_fuckin_idiot!_Kay?_good
39,0.0,False,growl;]Meowl?;D_If_thts_a_word_haha<3
40,0.0,False,guesss_who_;)Idk_hoe_get_cha_own_cup_of_blackberry_with_a_hint_of_lemon_ice_tea._Dayumm!_hahah_JK_Brooke?
41,0.0,False,-Haa_you_guessedd_righhtttt:Dr_its_Maryyyy(:_ahhh_ilovee_this_picture!!!!!!!!!!_mayb_becuase_youhr_in_it_babe<3Off_courrseeee_dudee_hahahahaha!!!!_Awhhh_lol!_i_think_i_love_it_2_chuz_im_in_it_lol!!!!_jk!_i_love_yuh!!
42,0.0,False,haaa_its_all_qud__sorry_abouht_the_&quot;hoe&quot;_thinq__iwas_mad_lollmfao!_haha!_Nahh_its_my_badd;)
43,0.0,False,haha_;)so.._have_u_ever_been_to_france?Pfftt!!_nahhh_i_hve_never_been_outta_this_country!!_Argh!_hve_yuh?!_haha
44,0.0,False,haha_check_inside_ur_closet_u_mind_find_out_who_it_is(;Lmao!!_kk_lemme_get_my_ass_off_this_toliet_seat_then_ill_check!!_Mwahah!!_jk
